id,target
3,34.20794838340903
7,30.635382976898946
15,32.01198522108831
17,29.73870287996161
20,36.12046938886907
22,32.071266345643735
30,33.637881806101056
33,31.481285740620898
34,30.314475911246674
43,29.20865108646277
50,28.71836801460606
53,31.154990707408032
56,29.149246258787677
57,34.85112288954588
58,30.187195456372148
60,30.763148930681695
64,33.67304349781234
66,28.7357559449617
67,29.055193569352504
69,37.697925018131016
71,41.09777516871162
76,28.33444066317172
80,27.615769396432583
83,36.652451757563604
88,29.809552925425418
93,31.886306649010894
101,27.722665529948944
102,29.20612505284481
112,32.86616439462742
114,31.14139227126157
116,32.81232191303572
122,32.48029137301957
123,30.951619359380647
126,30.69936992395668
130,25.992061859957303
134,28.744678309538447
139,32.67141839697003
142,32.21736327666509
149,30.770840870513528
154,29.318697680126892
160,36.79153269768697
163,34.95737278104357
164,27.264635240224393
173,34.744103072656365
177,31.659677488729432
178,28.21671161951667
180,37.00863036931587
182,35.986527411663076
187,33.705702961561414
192,33.293696539056825
193,31.485824267664242
195,27.384043852988164
197,37.84243889115354
199,27.071719068968495
203,34.05334364933657
205,26.84985291895224
209,29.59485868841818
210,33.16779155505962
213,39.27926800903664
219,29.427855664812558
221,35.26367815739212
228,36.95076696056644
229,31.224516956209555
232,31.207811958949847
235,28.654232404757664
240,35.632239141613134
243,30.7082937121917
246,32.32358397945755
247,33.730288669616286
248,26.096383229609533
263,30.989321737353134
264,34.96741060354451
275,32.02804320599183
279,29.93334525043064
284,32.00251977707566
286,28.965344039908985
291,38.520677661720676
299,33.51164001787271
304,37.99713495862618
307,28.664996520687506
309,38.72778888344035
315,29.537191807529535
323,29.151603700345575
327,36.793177452883654
328,30.06557463400218
336,30.803065648679578
346,28.606259150750173
348,29.253154465808244
351,28.977721181147174
352,32.56161809269584
358,31.104704887223782
359,35.96248460522265
360,27.98724347762682
367,28.803553094338373
370,32.87736465525532
373,44.97056056781499
378,27.736928515579223
385,28.608142815190654
388,34.306712350269855
390,32.48458342991666
392,34.05045808569717
399,27.1918178356359
403,35.63615505520414
407,27.71746814177467
409,31.63615279402695
412,27.47050604377957
414,37.26688577158612
418,36.56321808810556
419,32.823066015390125
422,38.3619472476334
433,39.05301759162226
434,41.2390881640099
440,32.42943776019384
447,36.171378061214355
448,36.64441136016592
450,34.57826717960598
454,30.187983229539952
456,29.18672333841713
459,35.46314768986308
460,32.66420516277664
463,33.74630044346269
465,29.030499426443935
471,30.57473087912072
476,39.229213171304366
483,29.284607492565957
487,30.255480885327575
488,39.487816846013125
491,20.415779693428107
494,33.973576037393556
496,27.26407867460419
499,32.32076891259847
504,28.67117446956562
512,34.73897673966432
518,29.22813739751165
522,30.655015213681917
524,27.46400949537813
526,36.85271813019764
528,31.848568199173233
531,28.401015476091505
534,34.491722659292016
541,26.046566145105032
554,32.59806161334851
557,32.65403422144084
558,31.493176450032173
561,33.53756056404417
566,27.732670090043847
574,34.42980742050564
577,33.46980938622395
579,35.11636097178793
585,36.7512251958514
586,32.13023801689328
588,36.80429742985043
590,32.73804298603752
592,32.9217634751982
593,30.313627393022248
594,26.717031213755924
595,32.807049417946644
597,27.83545395807292
598,40.508673745156855
600,32.49729586796977
603,28.83027685122876
611,27.40805479943071
616,28.959194721973482
621,36.64993604965725
622,30.38327086816246
626,28.319377418380338
627,30.52847514393545
636,29.256577574180984
647,34.12410491968541
651,34.445509283920074
654,30.53166541409411
655,27.615131470390754
656,28.71789174534355
658,28.605515752901304
659,29.7664116920539
668,35.27103807156794
671,26.898588120664673
677,32.39199485596466
678,32.47888540386236
683,32.445901261146574
685,40.05228731932427
687,27.800621937310108
694,32.02629481581794
702,36.21331628601828
703,29.942317912961414
704,33.556912276600016
706,29.569234475565278
709,32.139783954867205
712,28.240260085959388
714,38.1011091404853
715,38.86704234815301
720,34.33541434203715
724,28.38729514796979
725,27.174186206005995
726,28.27360782563463
731,31.272229187516327
745,29.598399180401582
748,30.566463008070304
754,34.93574483027078
755,34.605461528152006
759,29.03436402306515
